,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
Gross Wall Area [m2],4631.03,1905.2,996.24,1669.05,60.53
Above Ground Wall Area [m2],4631.03,1905.2,996.24,1669.05,60.53
Window Opening Area [m2],850.63,342.94,196.37,300.43,10.9
Gross Window-Wall Ratio [%],18.37,18.0,19.71,18.0,18.0
Above Ground Window-Wall Ratio [%],18.37,18.0,19.71,18.0,18.0
