,Electricity Annual Value [kWh],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
ElectricitySurplusSold:Facility,0.0,0.0,01-JAN-00:10,0.0,01-JAN-00:10
ElectricitySurplusSold:Plant,0.0,0.0,01-JAN-00:10,0.0,01-JAN-00:10
Cogeneration:ElectricitySurplusSold,0.0,0.0,01-JAN-00:10,0.0,01-JAN-00:10
ElectricityNet:Facility,2084909.2,36594.71,29-JAN-21:10,470026.95,02-AUG-15:30
ElectricityNet:Plant,2084909.2,36594.71,29-JAN-21:10,470026.95,02-AUG-15:30
Cogeneration:ElectricityNet,2084909.2,36594.71,29-JAN-21:10,470026.95,02-AUG-15:30
Electricity:HVAC,308738.61,0.0,01-JAN-00:10,96244.87,29-JUL-16:00
General:Fans:Electricity,308738.61,0.0,01-JAN-00:10,96244.87,29-JUL-16:00
ExteriorEquipment:Electricity,263946.02,0.0,01-JAN-00:10,63403.2,01-JAN-10:10
General:ExteriorEquipment:Electricity,263946.02,0.0,01-JAN-00:10,63403.2,01-JAN-10:10
HeatRecovery:Electricity,0.0,0.0,01-JAN-00:10,0.0,01-JAN-00:10
Electricity:Plant,239946.15,22637.53,01-JAN-21:10,67932.06,02-SEP-18:10
Pumps:Electricity,239946.15,22637.53,01-JAN-21:10,67932.06,02-SEP-18:10
