,Type,Control,Head [pa],Water Flow [m3/s],Electric Power [W],Power Per Water Flow Rate [W-s/m3],Motor Efficiency [W/W]
CHWLOOP CHW SECONDARY PUMP,Pump:VariableSpeed,Continuous,232700.0,0.136643,45294.53,331481.48,0.9
CHILLER1 CHW BRANCH PUMP,Pump:ConstantSpeed,Continuous,116300.0,0.136643,22637.53,165669.52,0.9
